nasabah_id,platform_id,platform_nama,platform_tipe,platform_segmen,segmen_pekerjaan,usia,kota,jumlah_tanggungan,lama_di_platform_bln,punya_smartphone,punya_ewallet,punya_rekening_bank,punya_kartu_kredit,punya_bpjs,is_gig_worker,punya_app_gig,rating_gig_app,jam_kerja_per_hari,tgl_bergabung
L1NSB00001,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Ojek online / driver,36,Depok,0,15,1,0,1,0,1,1,0,0.0,0,2022-08-27
L1NSB00002,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Freelancer digital,31,Yogyakarta,1,35,1,1,0,1,1,1,1,4.1,8,2022-01-22
L1NSB00003,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Ojek online / driver,25,Tangerang,3,23,1,1,1,0,1,1,1,4.3,14,2022-07-05
L1NSB00004,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Pedagang pasar / warung,23,Jakarta Selatan,2,15,1,1,1,1,1,0,0,0.0,0,2023-01-09
L1NSB00005,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Buruh pabrik,32,Makassar,1,18,1,1,0,0,1,0,0,0.0,0,2023-04-19
L1NSB00006,PLT004,BFI Finance,Multifinance,Motor & UMKM,Pedagang pasar / warung,33,Makassar,2,21,1,1,0,0,0,0,0,0.0,0,2022-04-19
L1NSB00007,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Penjahit / konveksi,39,Depok,3,32,1,1,1,0,0,0,0,0.0,0,2022-03-09
L1NSB00008,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Buruh pabrik,44,Tangerang,1,15,1,0,1,1,1,0,0,0.0,0,2022-06-13
L1NSB00009,PLT004,BFI Finance,Multifinance,Motor & UMKM,Freelancer digital,43,Bandung,4,30,1,1,1,0,1,1,1,4.3,8,2022-03-29
L1NSB00010,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Pedagang pasar / warung,29,Surabaya,5,1,1,1,0,0,0,0,0,0.0,0,2023-09-04
L1NSB00011,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Freelancer digital,28,Tangerang,5,11,1,1,1,0,0,1,0,0.0,0,2022-11-11
L1NSB00012,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Ojek online / driver,24,Jakarta Barat,4,32,1,1,1,0,1,1,1,3.7,12,2022-04-19
L1NSB00013,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Pemilik UMKM kecil,31,Yogyakarta,1,20,1,1,0,1,1,0,0,0.0,0,2022-02-02
L1NSB00014,PLT003,Adira Finance,Multifinance,Motor & elektronik,Ojek online / driver,33,Medan,3,15,0,1,0,0,0,1,1,4.3,8,2022-08-08
L1NSB00015,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Ojek online / driver,49,Depok,3,31,1,0,0,0,1,1,1,4.6,14,2022-06-15
L1NSB00016,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Ojek online / driver,40,Palembang,4,7,1,0,1,0,0,1,1,4.9,11,2024-05-26
L1NSB00017,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Ojek online / driver,19,Jakarta Barat,5,16,1,1,0,0,0,1,1,5.0,8,2023-04-11
L1NSB00018,PLT003,Adira Finance,Multifinance,Motor & elektronik,Buruh pabrik,50,Jakarta Timur,0,13,1,1,1,0,1,0,0,0.0,0,2023-08-22
L1NSB00019,PLT004,BFI Finance,Multifinance,Motor & UMKM,Kurir / ekspedisi,52,Jakarta Timur,1,4,1,0,0,0,1,1,1,3.7,13,2023-09-01
L1NSB00020,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Freelancer digital,45,Makassar,3,34,1,1,1,0,0,1,0,0.0,0,2022-02-28
L1NSB00021,PLT003,Adira Finance,Multifinance,Motor & elektronik,Pemilik UMKM kecil,23,Jakarta Selatan,1,30,1,1,0,0,1,0,0,0.0,0,2022-03-31
L1NSB00022,PLT001,Amartha Fintech,P2P Lending,UMKM mikro,Penjahit / konveksi,42,Bekasi,3,11,1,1,0,1,1,0,0,0.0,0,2023-11-15
L1NSB00023,PLT005,KoinWorks SME,P2P Lending,UKM & usaha kecil,Pedagang pasar / warung,25,Bogor,1,9,1,1,1,0,0,0,0,0.0,0,2022-12-18
L1NSB00024,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Petani / nelayan,35,Semarang,0,32,1,1,0,0,1,0,0,0.0,0,2022-03-27
L1NSB00025,PLT002,Modal Rakyat,P2P Lending,Pedagang & warung,Freelancer digital,35,Jakarta Timur,3,29,1,1,0,0,1,1,1,4.3,9,2022-02-07
L1NSB00026,PLT004,BFI Finance,Multifinance,Motor & UMKM,Ojek online / driver,38,Tangerang,3,3,1,0,0,0,1,1,1,4.1,13,2024-08-05
