nasabah_id,ew_aktif_bulan,ew_transaksi_per_bulan,ew_avg_nominal,ew_top_up_rutin,ew_spike_sebelum_ajuan,ew_saldo_rata_rata,gig_income_avg_bln,gig_order_per_bln,gig_konsisten_6bln,gig_cancel_rate,listrik_tepat_waktu,listrik_pct_tepat,bpjs_rutin,ecom_trx_per_bln,ecom_avg_nominal,ecom_return_rate,punya_toko_online,omzet_toko_online,pulsa_bulanan,pulsa_konsisten_12bln,platform_ontime_rate,platform_late_days_avg
L1NSB00001,0,0,0,0,0,0,0,0,0,0.0,16,66.7,0,13,266000,0.05,0,0,120000,1,0.67,14
L1NSB00002,24,26,767000,1,0,11000,1822000,67,1,0.11,24,100.0,0,4,60000,0.08,0,0,116000,1,0.69,13
L1NSB00003,24,8,602000,1,0,431000,2673000,303,1,0.07,24,100.0,1,6,423000,0.01,0,0,80000,1,0.74,11
L1NSB00004,12,53,642000,1,0,112000,0,0,0,0.0,14,58.3,0,2,79000,0.01,0,0,80000,0,0.75,11
L1NSB00005,9,5,347000,1,0,32000,0,0,0,0.0,16,66.7,1,16,379000,0.15,0,0,91000,0,0.79,9
L1NSB00006,11,11,666000,1,1,144000,0,0,0,0.0,17,70.8,0,20,277000,0.06,0,0,126000,1,0.79,9
L1NSB00007,6,70,114000,0,0,335000,0,0,0,0.0,20,83.3,0,16,84000,0.05,0,0,97000,1,0.95,2
L1NSB00008,0,0,0,0,0,0,0,0,0,0.0,18,75.0,1,14,483000,0.0,0,0,38000,1,0.94,2
L1NSB00009,8,9,387000,1,0,355000,7887000,175,0,0.1,21,87.5,1,6,359000,0.07,0,0,44000,1,0.99,0
L1NSB00010,15,22,713000,1,0,218000,0,0,0,0.0,19,79.2,0,20,64000,0.11,0,0,144000,1,0.86,6
L1NSB00011,9,70,537000,1,0,74000,0,0,0,0.0,24,100.0,0,16,327000,0.12,0,0,80000,1,0.79,9
L1NSB00012,17,8,119000,1,0,407000,7908000,377,0,0.14,16,66.7,1,18,131000,0.03,0,0,22000,1,0.86,6
L1NSB00013,20,55,117000,1,0,176000,0,0,0,0.0,16,66.7,1,5,331000,0.14,1,18000000,20000,1,0.81,8
L1NSB00014,13,45,609000,1,0,184000,6599000,294,1,0.03,19,79.2,0,0,0,0.0,0,0,146000,1,0.56,19
L1NSB00015,0,0,0,0,0,0,3039000,335,1,0.11,14,58.3,1,10,65000,0.14,0,0,94000,0,0.75,11
L1NSB00016,0,0,0,0,0,0,7895000,248,1,0.09,17,70.8,0,18,85000,0.14,0,0,110000,1,0.71,13
L1NSB00017,8,73,575000,1,0,440000,4026000,319,1,0.02,24,100.0,0,11,446000,0.01,0,0,67000,0,0.82,8
