pinjaman_id,nasabah_id,platform_id,tgl_cair,tipe_produk,nama_produk,pokok,tenor_bulan,bunga_per_bulan,total_kewajiban,status_kolektibilitas,hari_keterlambatan,sudah_lunas
L1KRD000001,L1NSB00001,PLT001,2023-05-25,P2P Lending,Renovasi,500000,6,1.87,556100,Lancar,0,1
L1KRD000002,L1NSB00001,PLT001,2022-05-14,P2P Lending,Renovasi,3000000,9,3.02,3815400,Lancar,3,1
L1KRD000003,L1NSB00001,PLT001,2024-03-12,P2P Lending,Kesehatan,1000000,3,1.51,1045300,Lancar,2,1
L1KRD000004,L1NSB00002,PLT005,2024-02-26,P2P Lending,Pendidikan,10000000,1,1.91,10191000,Lancar,1,1
L1KRD000005,L1NSB00003,PLT001,2022-09-28,P2P Lending,Pendidikan,7000000,3,3.11,7653100,Lancar,3,1
L1KRD000006,L1NSB00003,PLT001,2022-02-04,P2P Lending,Modal usaha,7000000,6,3.34,8402800,Lancar,2,1
L1KRD000007,L1NSB00004,PLT005,2023-12-18,P2P Lending,Konsumsi,10000000,3,2.59,10777000,Lancar,2,1
L1KRD000008,L1NSB00004,PLT005,2024-05-23,P2P Lending,Kesehatan,2000000,6,1.94,2232800,Macet,145,0
L1KRD000009,L1NSB00004,PLT005,2023-07-28,P2P Lending,Pendidikan,7000000,1,3.42,7239400,Lancar,2,1
L1KRD000010,L1NSB00004,PLT005,2024-03-29,P2P Lending,Modal usaha,2000000,12,3.46,2830400,Lancar,0,0
L1KRD000011,L1NSB00005,PLT002,2023-09-03,P2P Lending,Modal usaha,7000000,12,2.18,8831200,Lancar,0,1
L1KRD000012,L1NSB00006,PLT004,2023-03-01,Multifinance,Mesin usaha,25000000,18,1.91,33595000,Lancar,2,1
L1KRD000013,L1NSB00006,PLT004,2023-11-15,Multifinance,Mesin usaha,7000000,18,1.78,9242800,Lancar,3,0
L1KRD000014,L1NSB00006,PLT004,2023-09-11,Multifinance,Motor baru,15000000,24,1.62,20832000,Lancar,1,0
L1KRD000015,L1NSB00007,PLT005,2024-04-01,P2P Lending,Renovasi,5000000,1,3.17,5158500,Lancar,3,1
L1KRD000016,L1NSB00008,PLT005,2022-04-21,P2P Lending,Pendidikan,5000000,9,1.69,5760500,Kurang Lancar,44,0
