pengajuan_id,nasabah_id,platform_id,platform_tipe,tgl_pengajuan,tipe_produk,tujuan,jumlah_diajukan,tenor_bln,lama_platform_bln,platform_ontime_rate,n_pinjaman_sebelumnya,n_lancar,n_macet,avg_telat_hari,listrik_pct_tepat,ew_aktif_bln,ew_trx_per_bln,ew_spike,is_gig,gig_income_avg,gig_konsisten,gig_cancel_rate,punya_rekening,bpjs_rutin,punya_toko_online,omzet_toko_online,skor_ai,kategori_risiko,rekomendasi,prob_default,label_default,faktor_positif,faktor_negatif
L1AJN00001,L1NSB00001,PLT001,P2P Lending,2024-07-18,P2P Lending,Modal usaha,500000,1,15,0.67,3,3,0,1.7,66.7,0,0,0,1,0,0,0.0,1,0,0,0,83,Rendah,Setujui,0.099,0,Aktif di platform 15 bulan (+7) | 3 pinjaman lancar (+15) | Tidak ada riwayat macet (+7) | Punya rekening bank (+4),
L1AJN00002,L1NSB00002,PLT005,P2P Lending,2024-09-07,P2P Lending,Renovasi,2000000,12,35,0.69,1,1,0,1.0,100.0,24,26,0,1,1822000,1,0.11,0,0,0,0,84,Rendah,Setujui,0.093,0,Aktif di platform 35 bulan (+7) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7) | Listrik 100.0% tepat waktu (+7),Cancel rate gig 11% (-4)
L1AJN00003,L1NSB00003,PLT001,P2P Lending,2024-04-05,P2P Lending,Pendidikan,2000000,6,23,0.74,2,2,0,2.5,100.0,24,8,0,1,2673000,1,0.07,1,1,0,0,95,Rendah,Setujui,0.029,0,Aktif di platform 23 bulan (+7) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 100.0% tepat waktu (+7),
L1AJN00004,L1NSB00004,PLT005,P2P Lending,2024-12-24,P2P Lending,Konsumsi,1000000,3,15,0.75,4,3,1,37.2,58.3,12,53,0,0,0,0,0.0,1,0,0,0,69,Menengah,Setujui,0.18,1,Aktif di platform 15 bulan (+7) | On-time rate 75% (+5) | 3 pinjaman lancar (+15) | E-wallet aktif 12 bulan (+5),1 pinjaman macet (-12) | Rata-rata telat 37 hari (-10)
L1AJN00005,L1NSB00005,PLT002,P2P Lending,2024-10-26,P2P Lending,Konsumsi,5000000,6,18,0.79,1,1,0,0.0,66.7,9,5,0,0,0,0,0.0,0,1,0,0,77,Rendah,Setujui,0.133,0,Aktif di platform 18 bulan (+7) | On-time rate 79% (+5) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),
L1AJN00006,L1NSB00006,PLT004,Multifinance,2024-06-17,Multifinance,Motor bekas,20000000,36,21,0.79,3,3,0,2.0,70.8,11,11,1,0,0,0,0.0,0,0,0,0,74,Rendah,Setujui,0.151,0,Aktif di platform 21 bulan (+7) | On-time rate 79% (+5) | 3 pinjaman lancar (+15) | Tidak ada riwayat macet (+7),Lonjakan top-up sebelum pengajuan (-8) ⚠️
L1AJN00007,L1NSB00007,PLT005,P2P Lending,2024-08-19,P2P Lending,Pendidikan,1000000,12,32,0.95,1,1,0,3.0,83.3,6,70,0,0,0,0,0.0,1,0,0,0,91,Rendah,Setujui,0.052,0,Aktif di platform 32 bulan (+7) | On-time rate 95% (+10) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),
L1AJN00008,L1NSB00008,PLT005,P2P Lending,2024-12-30,P2P Lending,Pendidikan,500000,12,15,0.94,2,1,0,23.0,75.0,0,0,0,0,0,0,0.0,1,1,0,0,89,Rendah,Setujui,0.064,0,Aktif di platform 15 bulan (+7) | On-time rate 94% (+10) | 1 pinjaman lancar (+5) | Tidak ada riwayat macet (+7),
L1AJN00009,L1NSB00009,PLT004,Multifinance,2024-12-04,Multifinance,Mesin usaha,3000000,18,30,0.99,0,0,0,0.0,87.5,8,9,0,1,7887000,0,0.1,1,1,0,0,72,Rendah,Setujui,0.162,0,Aktif di platform 30 bulan (+7) | On-time rate 99% (+10) | Listrik 87.5% tepat waktu (+3) | Punya rekening bank (+4),4 tanggungan (-5)
L1AJN00010,L1NSB00010,PLT001,P2P Lending,2024-07-08,P2P Lending,Pendidikan,500000,12,1,0.86,4,2,0,19.2,79.2,15,22,0,0,0,0,0.0,0,0,0,0,75,Rendah,Setujui,0.145,0,On-time rate 86% (+5) | 2 pinjaman lancar (+10) | Tidak ada riwayat macet (+7) | Listrik 79.2% tepat waktu (+3),5 tanggungan (-5)
